Date,Value
2025-11-03,5.046999931335449
2025-11-04,4.926000118255615
2025-11-05,4.9629998207092285
2025-11-06,4.945499897003174
2025-11-07,4.938000202178955
2025-11-10,5.086999893188477
2025-11-11,5.048500061035156
2025-11-12,5.0894999504089355
2025-11-13,5.087500095367432
2025-11-14,5.049499988555908
2025-11-17,5.0
2025-11-18,4.962500095367432
2025-11-19,5.007999897003174
2025-11-20,4.959499835968018
2025-11-21,5.008500099182129
2025-11-24,4.961999893188477
2025-11-25,4.999499797821045
2025-11-26,5.104499816894531
2025-11-28,5.185500144958496
2025-12-01,5.218999862670898
2025-12-02,5.160999774932861
2025-12-03,5.308000087738037
2025-12-04,5.291500091552734
2025-12-05,5.381999969482422
2025-12-08,5.364500045776367
2025-12-09,5.240499973297119
2025-12-10,5.2754998207092285
2025-12-11,5.427000045776367
2025-12-12,5.2835001945495605
2025-12-15,5.338500022888184
2025-12-16,5.2870001792907715
2025-12-17,5.363500118255615
2025-12-18,5.366499900817871
2025-12-19,5.439499855041504
2025-12-22,5.4375
2025-12-23,5.47599983215332
2025-12-24,5.498499870300293
2025-12-26,5.766499996185303
2025-12-29,5.490499973297119
2025-12-30,5.727499961853027
2025-12-31,5.630000114440918
2026-01-02,5.639999866485596
2026-01-05,5.924499988555908
2026-01-06,6.010499954223633
2026-01-07,5.809000015258789
2026-01-08,5.746500015258789
2026-01-09,5.855500221252441
2026-01-12,5.985000133514404
2026-01-13,5.96999979019165
2026-01-14,6.008999824523926
2026-01-15,5.947999954223633
2026-01-16,5.78849983215332
2026-01-20,5.7729997634887695
2026-01-21,5.729499816894531
2026-01-22,5.742499828338623
2026-01-23,5.910999774932861
2026-01-26,5.984000205993652
2026-01-27,5.828499794006348
2026-01-28,5.892499923706055
2026-01-29,6.17549991607666
2026-01-30,5.896999835968018
2026-02-02,5.801499843597412
2026-02-03,6.087500095367432
